region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2021-01-31,,estimate,9,10,6.4,2,5,7,10,13,22
Aberdeen City,2021-02-01,,estimate,12,13.1,8.2,3,7,10,14,17,28
Aberdeen City,2021-02-02,,estimate,12,14,9.2,3,7,10,14,19,31
Aberdeen City,2021-02-03,,estimate,19,21.8,13.7,5,12,16,22,29,48
Aberdeen City,2021-02-04,,estimate,15,17,10.9,4,9,12,18,22,37
Aberdeen City,2021-02-05,,estimate,15,16.7,10.5,4,9,12,17,22,36
Aberdeen City,2021-02-06,,estimate,14,15.8,10.1,4,9,12,16,21,35
Aberdeen City,2021-02-07,,estimate,10,11.8,7.5,2,6,9,12,16,27
Aberdeen City,2021-02-08,,estimate,12,13.7,8.7,3,7,10,14,18,31
Aberdeen City,2021-02-09,,estimate,11,12.9,8.1,3,7,10,13,17,28
Aberdeen City,2021-02-10,,estimate,17,19.5,11.9,5,11,15,20,25,42
Aberdeen City,2021-02-11,,estimate,13,14.5,9.2,3,8,11,15,19,32
Aberdeen City,2021-02-12,,estimate,12,14,8.7,3,8,10,14,19,30
Aberdeen City,2021-02-13,,estimate,11,12.6,8.1,2,7,9,13,17,28
Aberdeen City,2021-02-14,,estimate,9,9.9,6.6,2,5,7,10,13,22
Aberdeen City,2021-02-15,,estimate,10,11.3,7.4,2,6,8,12,15,25
Aberdeen City,2021-02-16,,estimate,9,10.8,7.2,2,5,8,11,14,24
Aberdeen City,2021-02-17,,estimate,14,16.1,10.3,3,9,12,17,21,35
Aberdeen City,2021-02-18,,estimate,11,12.6,8.2,3,7,9,13,17,28
Aberdeen City,2021-02-19,,estimate,11,12.3,8.2,3,6,9,13,16,27
Aberdeen City,2021-02-20,,estimate,10,11.2,7.4,2,6,8,12,15,25
Aberdeen City,2021-02-21,,estimate,7,8.6,5.8,1,4,6,9,12,20
Aberdeen City,2021-02-22,,estimate,9,10.1,6.6,2,5,7,10,13,23
Aberdeen City,2021-02-23,,estimate,9,10,6.7,2,5,7,10,13,23
Aberdeen City,2021-02-24,,estimate,13,14.9,9.5,3,8,11,15,20,33
Aberdeen City,2021-02-25,,estimate,10,11.6,7.7,2,6,9,12,15,27
Aberdeen City,2021-02-26,,estimate,10,11.3,7.4,2,6,8,12,15,26
Aberdeen City,2021-02-27,,estimate,9,10.7,7.3,2,6,8,11,14,24
Aberdeen City,2021-02-28,,estimate,7,8.5,5.7,1,4,6,9,11,19
Aberdeen City,2021-03-01,,estimate,9,10,6.6,2,5,7,10,13,22
Aberdeen City,2021-03-02,,estimate,9,9.9,6.7,2,5,7,10,13,23
Aberdeen City,2021-03-03,,estimate,13,15.2,9.7,3,8,11,16,20,34
Aberdeen City,2021-03-04,,estimate,10,11.7,7.5,2,6,9,12,16,26
Aberdeen City,2021-03-05,,estimate,10,11.6,7.5,2,6,9,12,16,26
Aberdeen City,2021-03-06,,estimate,10,10.9,7.1,2,6,8,11,15,24
Aberdeen City,2021-03-07,,estimate,8,8.6,5.4,1,5,6,9,11,19
Aberdeen City,2021-03-08,,estimate,9,10.4,6.8,2,6,8,11,14,23
Aberdeen City,2021-03-09,,estimate,9,10.5,7,2,5,8,11,14,23
Aberdeen City,2021-03-10,,estimate,14,15.9,9.7,4,9,12,16,21,34
Aberdeen City,2021-03-11,,estimate,11,12.5,8.1,3,7,9,13,17,28
Aberdeen City,2021-03-12,,estimate,11,12.4,8,2.9,7,9,13,16,27
Aberdeen City,2021-03-13,,estimate,10,11.7,7.6,2,6,9,12,16,26
Aberdeen City,2021-03-14,,estimate,8,9.3,6.2,2,5,7,10,12,21
Aberdeen City,2021-03-15,,estimate,10,11.1,7,2,6,8,12,15,24
Aberdeen City,2021-03-16,,estimate,10,11,7.1,2,6,8,11,15,24
Aberdeen City,2021-03-17,,estimate,15,16.6,10.4,3,9,13,17,22,36
Aberdeen City,2021-03-18,,estimate,11,12.9,8.2,3,7,10,13,17,28
Aberdeen City,2021-03-19,,estimate,12,12.9,8.1,3,7,10,14,17,28
Aberdeen City,2021-03-20,,estimate,11,12.3,8,3,7,9,13,16,28
Aberdeen City,2021-03-21,,estimate,8,9.4,6.2,2,5,7,10,13,21
Aberdeen City,2021-03-22,,estimate,10,11.1,7.3,2,6,8,11,15,25
Aberdeen City,2021-03-23,,estimate,10,10.9,7.1,2,6,8,11,15,24
Aberdeen City,2021-03-24,,estimate,15,16.7,10.4,4,9,12,17,22,37
Aberdeen City,2021-03-25,,estimate,11,12.8,7.9,3,7,10,13,17,28
Aberdeen City,2021-03-26,,estimate,11,12.5,7.9,3,7,9,13,17,27
Aberdeen City,2021-03-27,,estimate,10,11.7,7.6,2,6,9,12,15,26
Aberdeen City,2021-03-28,,estimate,8,9,6.1,1,5,6,9,12,20
Aberdeen City,2021-03-29,,estimate,9,10.4,6.8,2,6,8,11,14,23
Aberdeen City,2021-03-30,,estimate,9,10.2,6.7,2,5,8,11,14,23
Aberdeen City,2021-03-31,,estimate,14,15.6,9.7,3,9,12,16,21,34
Aberdeen City,2021-04-01,,estimate,10,12,7.6,2.9,6,9,12,16,27
Aberdeen City,2021-04-02,,estimate,10,11.4,7.3,2,6,8,12,15,26
Aberdeen City,2021-04-03,,estimate,9,10.7,7.2,2,6,8,11,14,24
Aberdeen City,2021-04-04,,estimate,7,8.4,5.7,1,4,6,9,11,19
Aberdeen City,2021-04-05,,estimate,8,9.6,6.3,2,5,7,10,13,21
Aberdeen City,2021-04-06,,estimate,8,9.3,6.4,2,5,7,10,12,21
Aberdeen City,2021-04-07,,estimate,12,13.7,8.4,3,8,10,14,18,29
Aberdeen City,2021-04-08,,estimate,9,10.6,6.9,2,6,8,11,14,24
Aberdeen City,2021-04-09,,estimate,9,10,6.4,2,5,7,10,13,22
Aberdeen City,2021-04-10,,estimate,8,9.5,6.2,2,5,7,10,13,21
Aberdeen City,2021-04-11,,estimate,6,7.2,4.9,1,4,5,8,10,16
Aberdeen City,2021-04-12,,estimate,7,8.4,5.6,1,4,6,9,11,19
Aberdeen City,2021-04-13,,estimate,7,8,5.4,1,4,6,8,11,18
Aberdeen City,2021-04-14,,estimate,10.5,12,7.7,3,6,9,12,16,26
Aberdeen City,2021-04-15,,estimate,8,9.1,6,2,5,7,10,12,20
Aberdeen City,2021-04-16,,estimate,8,8.8,5.9,2,5,6,9,12,20
Aberdeen City,2021-04-17,,estimate,7,8,5.5,1,4,6,8,11,19
Aberdeen City,2021-04-18,,estimate,5,6.2,4.3,1,3,4,6,8,14
Aberdeen City,2021-04-19,,estimate,6,7.3,5,1,4,5,7,10,17
