region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2021-06-27,,estimate,11,11.1,3.8,5,8,10,12,14,18
East of England,2021-06-28,,estimate,13,12.8,4.1,6,10,12,14,15,20
East of England,2021-06-29,,estimate,12,12.6,4.2,6,10,11,13,15,20
East of England,2021-06-30,,estimate,13,12.9,4.1,7,10,12,14,16,20
East of England,2021-07-01,,estimate,15,15.4,4.7,8,12,14,16,18,24
East of England,2021-07-02,,estimate,14,14,4.4,7,11,13,15,17,22
East of England,2021-07-03,,estimate,16,16,4.9,9,12,14,17,19,25
East of England,2021-07-04,,estimate,18,18.4,5.2,10,15,17,19,22,27
East of England,2021-07-05,,estimate,21,21.4,5.8,13,17,20,23,25,32
East of England,2021-07-06,,estimate,21,21.1,5.6,12.9,17,19,22,25,31
East of England,2021-07-07,,estimate,21,21.4,5.6,13,18,20,22,25,31
East of England,2021-07-08,,estimate,25,25.6,6.4,16,21,24,27,30,37
East of England,2021-07-09,,estimate,23,23.3,6,14,19,21,24,27,34
East of England,2021-07-10,,estimate,26,26.4,6.4,17,22,24,28,30,38
East of England,2021-07-11,,estimate,29,29.8,7,19,25,28,31,34,42
East of England,2021-07-12,,estimate,34,34.6,7.7,22,29,33,36,40,48
East of England,2021-07-13,,estimate,33,33.6,7.7,22,28,31,35,39,47
East of England,2021-07-14,,estimate,33,33.5,7.7,22,28,31,35,38,47
East of England,2021-07-15,,estimate,38,38.9,8.6,26,33,36,41,44,53
East of England,2021-07-16,,estimate,34,34.3,7.7,22,29,32,36,39,48
East of England,2021-07-17,,estimate,38,38.1,8.3,25,32,36,40,44,52
East of England,2021-07-18,,estimate,41,41.6,9,28,35,39,44,47,57
East of England,2021-07-19,,estimate,46,46.7,9.7,31,40,44,49,53,63
East of England,2021-07-20,,estimate,44,43.9,9.1,30,38,41,46,50,59
East of England,2021-07-21,,estimate,42,42.6,9.2,28,36,40,44,48,58
East of England,2021-07-22,,estimate,47,47.9,10,33,41,45,50,54,65
East of England,2021-07-23,,estimate,41,41.4,8.9,28,35,39,43,47,57
East of England,2021-07-24,,estimate,44,44.1,9.1,30,38,41,46,50,60
East of England,2021-07-25,,estimate,47,47.6,10.1,32,40,44,50,54,65
East of England,2021-07-26,,estimate,51,51.6,10.4,36,44,49,54,58,69
East of England,2021-07-27,,estimate,47,47.6,9.9,32,41,45,50,54,65
East of England,2021-07-28,,estimate,44,44.9,9.4,30,38,42,47,51,61
East of England,2021-07-29,,estimate,49,50,10.2,34,43,47,52,57,67
East of England,2021-07-30,,estimate,42,42.6,9.1,29,36,40,45,49,58
East of England,2021-07-31,,estimate,45,45.7,9.6,31,39,43,47,51,63
East of England,2021-08-01,,estimate,48,48.3,9.9,33,41,45,50,55,65
East of England,2021-08-02,,estimate,52,52.6,10.5,36,45,49,55,59,71
East of England,2021-08-03,,estimate,48,48.6,10.1,33,41.8,46,51,55,66
East of England,2021-08-04,,estimate,46,46.2,9.8,31,39,43,48,52,63
East of England,2021-08-05,,estimate,51,51.7,10.5,36,44,48,54,58,70
East of England,2021-08-06,,estimate,44,44.6,9.4,30,38,42,46,50,61
East of England,2021-08-07,,estimate,47,47.8,10,32,41,45,50,54,65
East of England,2021-08-08,,estimate,51,51.6,10.5,35,44,49,54,58,70
East of England,2021-08-09,,estimate,56,56.5,11.4,39,48.8,53,58.4,64,77
East of England,2021-08-10,,estimate,52,52.6,10.7,36,45,49,55,59,71
East of England,2021-08-11,,estimate,50,50.6,10.4,35,43,47,53,57,68
East of England,2021-08-12,,estimate,57,57.3,11.3,40,50,54,60,65,76
East of England,2021-08-13,,estimate,49,49.8,10.4,34,43,47,52,56,68
East of England,2021-08-14,,estimate,53,53.4,10.7,37,46,50,56,60,72
East of England,2021-08-15,,estimate,57,58.1,11.6,40,50,55,60,65,78
East of England,2021-08-16,,estimate,63,63.8,12.4,45,55,60,67,72,85
East of England,2021-08-17,,estimate,59,59.8,11.8,41,52,56,62,67,80
East of England,2021-08-18,,estimate,57,57.6,11.4,40,50,54,60,65,77
East of England,2021-08-19,,estimate,64,64.8,12.2,46,56,61,67,72,86
East of England,2021-08-20,,estimate,55,55.9,11,39,48,52,58,63,76
East of England,2021-08-21,,estimate,59,59.7,11.8,42,52,56,62,67,80
East of England,2021-08-22,,estimate,63,64.1,12.5,44,56,60,66,72,86
East of England,2021-08-23,,estimate,70,70.9,13.4,50,61,67,74,80,94
East of England,2021-08-24,,estimate,64,65,12.2,46,56,61,67,73,86
East of England,2021-08-25,,estimate,61,62.1,12.3,43,54,58,64,70,84
East of England,2021-08-26,,estimate,68,69,13.2,49,60,65,72,77,92
East of England,2021-08-27,,estimate,59,59.2,11.5,41,51,56,62,67,79
East of England,2021-08-28,,estimate,61,62.3,12,44,54,58,65,70,83
East of England,2021-08-29,,estimate,66,66.7,12.9,47,58,63,69,75,90
East of England,2021-08-30,,estimate,71,71.5,13.3,51,63,68,74,80,94
East of England,2021-08-31,,estimate,65,65.7,12.6,46,57,62,68,74,88
East of England,2021-09-01,,estimate,61,61.9,12.2,43,53,58,64,70,83
East of England,2021-09-02,,estimate,68,68.4,13,49,59,64,71,77,91
East of England,2021-09-03,,estimate,57,57.7,11.5,40,50,54,60,65,77
East of England,2021-09-04,,estimate,60,60.4,11.7,42,52,57,63,68,80
East of England,2021-09-05,,estimate,63,63.4,12.2,44,55,60,66,71,84
East of England,2021-09-06,,estimate,67,67.5,13,47,58,64,70,76,90
East of England,2021-09-07,,estimate,60,60.9,11.7,43,53,57,63,68,81
East of England,2021-09-08,,estimate,56,56.8,11.1,40,49,53,59,64,76
East of England,2021-09-09,,estimate,61,61.9,12.1,43,54,58,64,69,83
East of England,2021-09-10,,estimate,51,51.6,10.5,35,44,48,53,58,70
East of England,2021-09-11,,estimate,53,53.3,10.7,37,46,50,55,60,72
East of England,2021-09-12,,estimate,55,55.1,10.9,38,47,52,57,62,74
East of England,2021-09-13,,estimate,58,58.7,11.6,41,51,55,61,66,79
East of England,2021-09-14,,estimate,52,52.6,10.7,36,45,49,55,59,71
East of England,2021-09-15,,estimate,48,48.5,10,33,42,45,50,55,65
East of England,2021-09-16,,estimate,52,52.2,10.4,36,45,49,54,59,70
East of England,2021-09-17,,estimate,43,42.9,9.2,29,36,40,45,49,59
East of England,2021-09-18,,estimate,44,44.5,9.5,30,38,42,46,50,61
East of England,2021-09-19,,estimate,45,45.8,9.6,31,39,43,48,52,63
East of England,2021-09-20,,estimate,48,48.7,10.1,33,42,46,51,55,66
East of England,2021-09-21,,estimate,43,43.7,9.2,29,37,41,46,50,60
East of England,2021-09-22,,estimate,40,40.4,8.7,27,34,38,42,46,55
East of England,2021-09-23,,estimate,44,44.3,9.4,30,38,41.6,46,50,60
East of England,2021-09-24,,estimate,36,36.9,8.3,24,31,34,38,42,51
East of England,2021-09-25,,estimate,38,38.6,8.6,25,33,36,40,44,53
East of England,2021-09-26,,estimate,41,41,9.1,27,35,38,43,47,57
East of England,2021-09-27,,estimate,43,43.6,9.3,29,37,41,46,50,60
East of England,2021-09-28,,estimate,40,40.3,8.6,27,34,38,42,46,55
East of England,2021-09-29,,estimate,38,38.5,8.5,26,33,36,40,44,53
East of England,2021-09-30,,estimate,42,42.6,9,29,36,40,44,48,58
East of England,2021-10-01,,estimate,36,36.7,8.3,24,31,34,38,42,51
East of England,2021-10-02,,estimate,39,39.5,8.7,26.9,34,37,41,45,55
East of England,2021-10-03,,estimate,43,43.3,9.3,29,37,41,45,49,59
East of England,2021-10-04,,estimate,48,48.2,10,32.9,41,45,50,55,65
East of England,2021-10-05,,estimate,45,45.6,9.5,31,39,43,47,52,62
East of England,2021-10-06,,estimate,44,44.7,9.3,30,38,42,47,51,61
East of England,2021-10-07,,estimate based on partial data,51,51.5,10.6,35,44,49,54,58,69
